"","burglaries","population","unemployment","wealth"
"1",0,1142,0.21259842519685,-0.042774388969547
"2",0,851,0.0787589498806683,-1.32527783578733
"3",0,720,0.100227790432802,-0.502178608725169
"4",0,459,0.112068965517241,-0.865873616031703
"5",0,992,0.0982248520710059,-0.329902026316811
"6",0,2240,0.091044037605146,1.04831063295006
"7",0,2135,0.269726247987118,3.71859766027961
"8",0,13,0,-2.25365719654348
"9",2,1370,0.154440154440154,0.320920618336987
"10",0,136,0.373983739837398,-1.79425297678786
"11",1,1012,0.25207756232687,0.61761917692916
"12",0,2275,0.153718091009989,2.0819701274002
"13",0,395,0.145669291338583,-1.45927073321605
"14",1,1205,0.0132978723404255,-0.684026112378436
"15",1,413,0.0947368421052632,-1.2965650720526
"16",1,1429,0.124775583482944,-0.923299143501156
"17",0,827,0.172859450726979,-0.597887821174257
"18",1,1381,0.19815668202765,1.23015813660332
"19",1,1608,0.280539174389216,1.07702339668478
"20",3,409,0.299093655589124,-1.48798349695077
"21",0,785,0.125226860254083,-0.368185711296446
"22",0,326,0.191637630662021,-1.98567140168603
"23",1,771,0.026694045174538,-1.13385941088915
"24",0,751,0.130350194552529,-0.693597033623345
"25",1,1378,0.0699507389162562,1.59385314390986
"26",0,963,0.101468624833111,-0.0332034677246382
"27",1,839,0.0720461095100865,-0.128912680173726
"28",1,651,0.120805369127517,-0.923299143501156
"29",3,2085,0.074293228139382,0.837750365562062
"30",0,1376,0.0547112462006079,0.608048255684251
"31",2,1596,0.0804780876494024,0.387917067051349
"32",4,1416,0.0858747993579454,0.608048255684251
"33",0,890,0.111898016997167,0.129502193438811
"34",3,1726,0.104181951577403,1.06745247543987
"35",0,967,0.224546722454672,0.30177877584717
"36",0,445,0.131034482758621,-1.30613599329751
"37",1,954,0.0253353204172876,0.0337929809897233
"38",2,971,0.137931034482759,-0.138483601418635
"39",0,739,0.133640552995392,-0.444753081255716
"40",3,1600,0.191823899371069,1.2110162941135
"41",3,1204,0.12221041445271,-0.109770837683909
"42",1,1134,0.0293427230046948,-0.0714871527042734
"43",1,1769,0.107604017216643,0.818608523072244
"44",2,1592,0.111195734958111,1.08659431792969
"45",1,1263,0.183673469387755,0.100789429704085
"46",0,1084,0.175792507204611,0.129502193438811
"47",2,830,0.281938325991189,-0.578745978684439
"48",0,1335,0.108221476510067,0.311349697092078
"49",2,381,0.0326086956521739,-1.90910403172676
"50",0,519,0.0958904109589041,-0.712738876113163
"51",0,745,0.157522123893805,-0.798877167317342
"52",1,649,0.229965156794425,-1.23913954458315
"53",2,785,0.17056856187291,-0.349043868806628
"54",2,1154,0.115115115115115,0.100789429704085
"55",1,1313,0.252771618625277,0.627190098174068
"56",1,1045,0.299651567944251,-0.368185711296446
"57",1,484,0.155361050328228,-1.54540902442023
"58",0,870,0.124183006535948,-0.25333465635754
"59",2,1129,0.240786240786241,0.387917067051349
"60",1,809,0.0715307582260372,-0.215050971377905
"61",3,1549,0.123232323232323,0.531480885724981
"62",2,1744,0.079221681723419,0.100789429704085
"63",1,567,0,-1.30613599329751
"64",2,858,0.0682730923694779,-0.80844808856225
"65",0,352,0.0777777777777778,-1.37313244201187
"66",0,774,0.0268336314847943,-0.73188071860298
"67",1,869,0.0516499282639885,-0.435182160010808
"68",1,837,0.0789473684210526,-0.65531334864371
"69",3,1771,0.0714801444043321,1.14401984539914
"70",1,1113,0.121107266435986,0.742041153112974
"71",2,619,0.196153846153846,-0.961582828480791
"72",2,501,0.0458715596330275,-1.35399059952205
"73",1,1104,0.115873015873016,-0.349043868806628
"74",0,722,0.167224080267559,-0.9711537497257
"75",2,615,0.232608695652174,-0.9711537497257
"76",1,659,0.282091917591125,-1.12428848964424
"77",1,1306,0.0417777777777778,-0.090628995194091
"78",2,939,0.101744186046512,-0.674455191133527
"79",2,1264,0.226393629124005,0.292207854602261
"80",3,621,0.13107822410148,-1.02857927719515
"81",0,981,0.170580964153276,0.560193649459707
"82",1,1324,0.129263913824057,-0.25333465635754
"83",2,974,0.0959232613908873,-0.779735324827524
"84",0,1083,0.074438202247191,0.320920618336987
"85",1,957,0.0949935815147625,0.129502193438811
"86",2,986,0.096401028277635,-0.33947294756172
"87",3,502,0.153664302600473,-1.21042678084842
"88",4,1389,0.168557536466775,1.08659431792969
"89",3,1253,0.0825870646766169,1.45986024648113
"90",2,182,0.0769230769230769,-2.03352600791058
"91",2,1545,0.155331654072208,1.17273260913387
"92",2,1242,0.151309408341416,0.45491351576571
"93",1,1231,0.070048309178744,0.598477334439342
"94",1,786,0.180616740088106,-0.234192813867723
"95",2,1412,0.075381679389313,0.311349697092078
"96",2,3058,0.0779065121853775,1.49814393146077
"97",0,1186,0.0668498168498168,-1.23913954458315
"98",2,1591,0.172897196261682,1.07702339668478
"99",0,295,0,-1.63154731562441
"100",2,1788,0.176046176046176,1.97668999370621
"101",0,1066,0.0449574726609964,-0.138483601418635
"102",1,360,0.246710526315789,-1.57412178815495
"103",1,1172,0.297402597402597,1.08659431792969
"104",2,1520,0.168224299065421,0.876034050541697
"105",0,282,0.0151515151515152,-1.8421075830124
"106",4,772,0.0453808752025932,-0.999866513460426
"107",0,864,0.106591865357644,-0.17676728639827
"108",2,1757,0.0902612826603325,1.46943116772604
"109",3,1140,0.185227272727273,1.26844182158296
"110",0,770,0.119047619047619,-0.645742427398801
"111",1,1841,0.169547872340426,1.27801274282787
"112",1,1272,0.202327663384064,0.742041153112974
"113",1,1192,0.141450313339302,0.0720766659693585
"114",1,744,0,-0.540462293704804
"115",0,809,0,-0.0810580739491822
"116",0,1746,0.101858224363386,2.05325736366548
"117",2,767,0.069204152249135,-0.396898475031172
"118",2,567,0.0451745379876797,-1.01900835595024
"119",1,811,0.178272980501393,-0.396898475031172
"120",0,769,0.0208333333333333,-0.396898475031172
"121",2,1460,0.111394557823129,1.67042051386913
"122",1,775,0.189873417721519,-0.41604031752099
"123",0,1009,0.124852767962309,-0.167196365153361
"124",0,971,0.164874551971326,0.387917067051349
"125",0,1066,0.143053645116919,0.416629830786075
"126",1,1237,0.0600985221674877,0.952601420500967
"127",1,710,0.314606741573034,-1.02857927719515
"128",1,927,0.0733695652173913,-0.0140616252348207
"129",3,1370,0.139366515837104,0.799466680582427
"130",0,720,0.0898550724637681,0.0529348234795409
"131",1,997,0.0464824120603015,-0.0523453102144558
"132",0,459,0.12621359223301,-1.15300125337897
"133",3,1127,0.0585424133811231,0.244353248377717
"134",1,817,0.0487394957983193,-0.588316899929348
"135",0,578,0.265536723163842,-0.9711537497257
"136",1,1211,0.0580865603644647,0.962172341745876
"137",1,1142,0.0791027154663518,0.349633382071713
"138",1,859,0.063573883161512,-0.282047420092267
"139",3,1206,0.09375,0.129502193438811
"140",1,613,0.0945179584120983,-1.21999770209333
"141",0,703,0.162162162162162,-0.042774388969547
"142",4,1722,0.175344563552833,1.19187445162369
"143",2,1190,0.127589967284624,0.7707539168477
"144",2,815,0.0422125181950509,-0.128912680173726
"145",2,620,0.0141592920353982,-0.703167954868254
"146",3,759,0.0225442834138486,-0.358614790051537
"147",0,420,0.0935960591133005,-1.27742322956278
"148",0,985,0.0540540540540541,0.320920618336987
"149",3,1170,0.0328253223915592,0.206069563398082
"150",1,613,0.0209923664122137,-0.837160852296977
"151",0,564,0.0916334661354582,-0.262905577602449
"152",1,1167,0.0958579881656805,0.167785878418446
"153",4,906,0.0504322766570605,0.129502193438811
"154",2,1293,0.122330097087379,0.100789429704085
"155",2,1294,0.0584225900681597,0.962172341745876
"156",1,2082,0.160175879396985,1.92883538748166
"157",0,954,0.0894117647058824,0.474055358255528
"158",1,1192,0.0499058380414313,0.627190098174068
"159",1,640,0.0678260869565217,-0.684026112378436
"160",0,720,0.0953846153846154,-0.435182160010808
"161",1,904,0.105782792665726,0.387917067051349
"162",1,481,0.146699266503667,-1.38270336325678
"163",1,506,0.0307692307692308,-0.837160852296977
"164",0,584,0.256179775280899,-0.913728222256247
"165",2,1694,0.148091603053435,1.81398433254276
"166",1,990,0.236486486486486,0.129502193438811
"167",0,841,0.0566280566280566,0.665473783153704
"168",0,977,0.0952890792291221,0.282636933357352
"169",2,1332,0.150903294367694,1.29715458531768
"170",0,1234,0.102793296089385,1.01002694797042
"171",2,911,0.087431693989071,0.61761917692916
"172",1,916,0.0878787878787879,-0.320331105071902
"173",0,1123,0.0417112299465241,0.158214957173538
"174",1,974,0.0825921219822109,0.100789429704085
"175",1,1270,0.122302158273381,0.751612074357883
"176",1,1347,0.153846153846154,0.0337929809897233
"177",3,1051,0.0556149732620321,0.100789429704085
"178",2,1324,0.109510086455331,1.14401984539914
"179",1,889,0.0282413350449294,0.0720766659693585
"180",2,951,0.166208791208791,-0.195909128888088
"181",2,1509,0.0757927300850735,1.36415103403205
"182",2,845,0.0687898089171975,0.234782327132808
"183",0,916,0.0844686648501362,0.0720766659693585
"184",0,916,0.0849673202614379,0.00508021725499693
"185",0,720,0.0379746835443038,-0.234192813867723
"186",1,637,0.086,-1.1912849383586
"187",3,1553,0.14874696847211,1.46943116772604
"188",4,1094,0.129453681710214,-0.980724670970609
"189",3,1222,0.115583075335397,0.971743262990785
"190",0,1020,0,-0.387327553786264
"191",3,2730,0.0261752136752137,3.4888955504018
"192",3,950,0.188564476885645,-0.0332034677246382
"193",1,1043,0.09125,0.340062460826805
"194",0,961,0.0870712401055409,-0.502178608725169
"195",2,793,0.176776429809359,-0.301189262582084
"196",0,435,0.128686327077748,-0.999866513460426
"197",3,1634,0.288150807899461,-0.138483601418635
"198",4,1694,0.0895765472312704,0.981314184235694
"199",0,963,0.0648379052369077,-0.358614790051537
"200",3,1030,0.057542768273717,-0.0332034677246382
"201",4,1003,0.13013698630137,0.0816475872142673
"202",0,1350,0.0801080108010801,0.962172341745876
"203",0,750,0.0715596330275229,-0.578745978684439
"204",3,1635,0.148954703832753,0.684615625643521
"205",0,658,0.149305555555556,-0.798877167317342
"206",0,466,0.0385542168674699,-1.08600480466461
"207",0,715,0.199211045364892,-0.645742427398801
"208",2,1036,0.0972388955582233,-0.17676728639827
"209",0,838,0.101388888888889,-0.521320451214987
"210",0,499,0.0594059405940594,-1.27742322956278
"211",0,690,0,-1.15300125337897
"212",1,1273,0.0396419437340153,0.148644035928629
"213",2,1050,0.021978021978022,-0.530891372459895
"214",0,694,0.135188866799205,-0.636171506153892
"215",2,631,0.179816513761468,-0.913728222256247
"216",0,612,0.0680529300567108,-0.597887821174257
"217",1,1650,0.0705521472392638,2.02454459993075
"218",1,1315,0.2,0.866463129296788
"219",0,821,0.158813263525305,-0.483036766235351
"220",0,1144,0.0604192355117139,0.349633382071713
"221",0,1229,0.0698772426817753,0.531480885724981
"222",1,1596,0.0723793677204659,1.24929997909314
"223",8,938,0.158629441624365,-0.100199916439
"224",0,662,0.0449640287769784,-0.597887821174257
"225",3,2693,0.0411025145067698,3.74731042401433
"226",1,1280,0.141949152542373,0.0720766659693585
"227",4,1061,0.0972388955582233,0.368775224561531
"228",0,1178,0.12888198757764,-0.473465844990443
"229",0,813,0.080672268907563,-0.904157301011338
"230",0,1697,0.10016694490818,0.493197200745345
"231",2,1201,0.167235494880546,0.177356799663355
"232",1,966,0.0806451612903226,-0.272476498847358
"233",0,967,0.166666666666667,-0.396898475031172
"234",0,806,0.156862745098039,-0.0332034677246382
"235",0,1616,0.0926449787835926,1.9671190724613
"236",1,1195,0.167206040992449,0.263495090867534
"237",0,870,0.121678321678322,0.330491539581896
"238",4,1229,0.118867924528302,-0.368185711296446
"239",1,2337,0.0244399185336049,1.80441341129785
"240",0,857,0.0506108202443281,-0.396898475031172
"241",0,1463,0.0299500831946755,0.971743262990785
"242",2,1251,0.051498127340824,1.51728577395059
"243",5,1898,0.069453809844909,1.90012262374694
"244",2,2503,0.0604142692750288,2.56051618964564
"245",0,1583,0.150537634408602,1.16316168788896
"246",1,1160,0.0824499411071849,-0.195909128888088
"247",2,982,0.152073732718894,0.37834614580644
"248",2,1205,0.149738219895288,0.809037601827336
"249",1,894,0.194214876033058,0.550622728214798
"250",1,972,0.122685185185185,0.0242220597448145
"251",0,13,0,-2.25365719654348
"252",4,863,0.146186440677966,-0.559604136194622
"253",1,1891,0.294232649071359,1.90012262374694
"254",1,600,0.142191142191142,-0.693597033623345
"255",4,1143,0.153502235469449,-0.65531334864371
"256",0,482,0.320689655172414,-1.1912849383586
"257",2,508,0.173170731707317,-1.01900835595024
"258",5,1913,0.223004694835681,0.885604971786606
"259",2,553,0.11716621253406,-1.1912849383586
"260",1,607,0.543283582089552,-0.913728222256247
"261",0,1035,0.0720720720720721,-0.0810580739491822
"262",0,1389,0.109229466553768,0.828179444317153
"263",2,1039,0,0.263495090867534
"264",0,1481,0,-0.511749529970078
"265",1,876,0.12992700729927,-0.722309797358071
"266",1,1147,0.12284730195178,0.0625057447244497
"267",1,980,0.0766016713091922,0.196498642153173
"268",1,1670,0.0732940185341196,1.58428222266495
"269",3,865,0.0753623188405797,-0.559604136194622
"270",2,1993,0.165537998495109,2.12982473362475
"271",1,1209,0.138613861386139,0.521909964480072
"272",3,1477,0.042486231313926,0.809037601827336
"273",3,640,0.191536748329621,-0.502178608725169
"274",3,545,0.239080459770115,-1.13385941088915
"275",1,1001,0.0895334174022699,-0.128912680173726
"276",4,1737,0.110635260528194,1.71827512009367
"277",1,1527,0.152470187393526,2.15853749735948
"278",2,1566,0.10016694490818,1.24929997909314
"279",1,705,0.027681660899654,-0.396898475031172
"280",1,1018,0.115479115479115,-0.224621892622814
"281",0,701,0.197154471544715,-1.10514664715442
"282",1,797,0.0276497695852535,-0.444753081255716
"283",2,1395,0.34409594095941,0.837750365562062
"284",0,357,0.102941176470588,-1.42098704823641
"285",3,1016,0.16338880484115,-0.368185711296446
"286",5,2682,0.208755760368664,1.95754815121639
"287",3,1132,0.160087719298246,0.263495090867534
"288",2,1062,0.18489289740699,0.186927720908264
"289",0,629,0.16030534351145,-1.03815019844006
"290",3,930,0.0942126514131898,-0.435182160010808
"291",1,706,0.244493392070485,-1.04772111968497
"292",2,728,0.100401606425703,-0.674455191133527
"293",2,983,0.267857142857143,-0.243763735112632
"294",3,732,0.194656488549618,-0.588316899929348
